candidate_index,candidate_id,method,search_stage,stage_code,alpha_cong_committed,alpha_cong_blocked,alpha_flow_progress,alpha_wait_or_nonprogress,rho_cong,rho_flow,flow_shield_beta,max_flow_shield,c_only,goal_projection_mode,delta_alpha_cong_committed,delta_alpha_cong_blocked,delta_alpha_flow_progress,delta_alpha_wait,delta_rho_cong,delta_rho_flow,delta_beta,delta_max_flow_shield,min_edge_cost,max_edge_cost,hypothesis,expected_strata,method_parser_family,existing_project_owned_alias,adapter_change_required,reserved_id_used,phase5p5_allowed,phase6_allowed,runtime_claim_allowed,learned_runtime_policy_validated,aaai_ready
61,repair5g539_s1_061,repair5g518_grid_c1p00_b1p25_f0p5_w0p75_dc0p98_df0p98_beta0p6_max0p75_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.75,0.98,0.98,0.6,0.75,False,flow_shield,-0.25,0,-0.5,0,0.03,-0.02,0.25,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
62,repair5g539_s1_062,repair5g518_grid_c1p4_b1p25_f1p25_w0p25_dc1p00_df1p00_beta0p35_max0p4_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.25,1.0,1.0,0.35,0.4,False,flow_shield,0.15,0,0.25,-0.5,0.05,0,0,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
63,repair5g539_s1_063,repair5g518_grid_c1p25_b1p25_f1p00_w0p35_dc0p95_df0p9_beta0p25_max1p00_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.35,0.95,0.9,0.25,1.0,False,flow_shield,0,0,0,-0.4,0,-0.1,-0.1,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
64,repair5g539_s1_064,repair5g518_grid_c1p1_b1p25_f0p75_w0p5_dc0p98_df0p95_beta0p15_max0p5_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.5,0.98,0.95,0.15,0.5,False,flow_shield,-0.15,0,-0.25,-0.25,0.03,-0.05,-0.2,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
65,repair5g539_s1_065,repair5g518_grid_c1p00_b1p25_f0p5_w0p65_dc1p00_df0p98_beta0p45_max1p25_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.65,1.0,0.98,0.45,1.25,False,flow_shield,-0.25,0,-0.5,-0.1,0.05,-0.02,0.1,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
66,repair5g539_s1_066,repair5g518_grid_c1p4_b1p25_f1p25_w0p75_dc0p95_df1p00_beta0p3_max0p75_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.75,0.95,1.0,0.3,0.75,False,flow_shield,0.15,0,0.25,0,0,0,-0.05,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
67,repair5g539_s1_067,repair5g518_grid_c1p25_b1p25_f1p00_w0p25_dc0p98_df0p9_beta0p2_max0p4_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.25,0.98,0.9,0.2,0.4,False,flow_shield,0,0,0,-0.5,0.03,-0.1,-0.15,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
68,repair5g539_s1_068,repair5g518_grid_c1p1_b1p25_f0p75_w0p35_dc1p00_df0p95_beta0p6_max1p00_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.35,1.0,0.95,0.6,1.0,False,flow_shield,-0.15,0,-0.25,-0.4,0.05,-0.05,0.25,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
69,repair5g539_s1_069,repair5g518_grid_c1p00_b1p25_f0p5_w0p5_dc0p95_df0p98_beta0p35_max0p5_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.5,0.95,0.98,0.35,0.5,False,flow_shield,-0.25,0,-0.5,-0.25,0,-0.02,0,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
70,repair5g539_s1_070,repair5g518_grid_c1p4_b1p25_f1p25_w0p65_dc0p98_df1p00_beta0p25_max1p25_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.65,0.98,1.0,0.25,1.25,False,flow_shield,0.15,0,0.25,-0.1,0.03,0,-0.1,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
71,repair5g539_s1_071,repair5g518_grid_c1p25_b1p25_f1p00_w0p75_dc1p00_df0p9_beta0p15_max0p75_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.75,1.0,0.9,0.15,0.75,False,flow_shield,0,0,0,0,0.05,-0.1,-0.2,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
72,repair5g539_s1_072,repair5g518_grid_c1p1_b1p25_f0p75_w0p25_dc0p95_df0p95_beta0p45_max0p4_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.25,0.95,0.95,0.45,0.4,False,flow_shield,-0.15,0,-0.25,-0.5,0,-0.05,0.1,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
73,repair5g539_s1_073,repair5g518_grid_c1p00_b1p25_f0p5_w0p35_dc0p98_df0p98_beta0p3_max1p00_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.35,0.98,0.98,0.3,1.0,False,flow_shield,-0.25,0,-0.5,-0.4,0.03,-0.02,-0.05,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
74,repair5g539_s1_074,repair5g518_grid_c1p4_b1p25_f1p25_w0p5_dc1p00_df1p00_beta0p2_max0p5_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.5,1.0,1.0,0.2,0.5,False,flow_shield,0.15,0,0.25,-0.25,0.05,0,-0.15,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
75,repair5g539_s1_075,repair5g518_grid_c1p25_b1p25_f1p00_w0p65_dc0p95_df0p9_beta0p6_max1p25_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.65,0.95,0.9,0.6,1.25,False,flow_shield,0,0,0,-0.1,0,-0.1,0.25,0.5,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
76,repair5g539_s1_076,repair5g518_grid_c1p1_b1p25_f0p75_w0p75_dc0p98_df0p95_beta0p35_max0p75_c0,Stage 1 stratified coarse search,s1,1.1,1.25,0.75,0.75,0.98,0.95,0.35,0.75,False,flow_shield,-0.15,0,-0.25,0,0.03,-0.05,0,0,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
77,repair5g539_s1_077,repair5g518_grid_c1p00_b1p25_f0p5_w0p25_dc1p00_df0p98_beta0p25_max0p4_c0,Stage 1 stratified coarse search,s1,1.0,1.25,0.5,0.25,1.0,0.98,0.25,0.4,False,flow_shield,-0.25,0,-0.5,-0.5,0.05,-0.02,-0.1,-0.35,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
78,repair5g539_s1_078,repair5g518_grid_c1p4_b1p25_f1p25_w0p35_dc0p95_df1p00_beta0p15_max1p00_c0,Stage 1 stratified coarse search,s1,1.4,1.25,1.25,0.35,0.95,1.0,0.15,1.0,False,flow_shield,0.15,0,0.25,-0.4,0,0,-0.2,0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
79,repair5g539_s1_079,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p98_df0p9_beta0p45_max0p5_c0,Stage 1 stratified coarse search,s1,1.25,1.25,1.0,0.5,0.98,0.9,0.45,0.5,False,flow_shield,0,0,0,-0.25,0.03,-0.1,0.1,-0.25,1.0,11.0,Latin-hypercube-style static_flow residual sample,all map/budget/agent strata,repair5g518_grid,True,False,False,False,False,False,False,False
80,repair5g539_s2_080,repair5g518_grid_c1p00_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p25_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.0,1.25,1.0,0.65,0.95,0.98,0.25,0.75,False,flow_shield,-0.25,0,0,-0.1,0,-0.02,-0.1,0,1.0,11.0,random bridge C-light refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
81,repair5g539_s2_081,repair5g518_grid_c1p1_b1p25_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.1,1.25,1.0,0.65,0.95,0.98,0.3,0.75,False,flow_shield,-0.15,0,0,-0.1,0,-0.02,-0.05,0,1.0,11.0,random bridge guarded refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
82,repair5g539_s2_082,repair5g518_grid_c1p25_b1p4_f1p00_w0p5_dc0p95_df0p9_beta0p25_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.25,1.4,1.0,0.5,0.95,0.9,0.25,0.75,False,flow_shield,0,0.15,0,-0.25,0,-0.1,-0.1,0,1.0,11.0,maze blockage/decay refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
83,repair5g539_s2_083,repair5g518_grid_c1p00_b1p1_f0p75_w0p35_dc0p98_df0p98_beta0p2_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.0,1.1,0.75,0.35,0.98,0.98,0.2,0.5,False,flow_shield,-0.25,-0.15,-0.25,-0.4,0.03,-0.02,-0.15,-0.25,1.0,11.0,warehouse conservative bridge refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
84,repair5g539_s2_084,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p95_df0p95_beta0p2_max1p00_c0,Stage 2 local safe-winner refinement,s2,1.25,1.25,1.0,0.5,0.95,0.95,0.2,1.0,False,flow_shield,0,0,0,-0.25,0,-0.05,-0.15,0.25,1.0,11.0,low-beta high-cap refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
85,repair5g539_s2_085,repair5g518_grid_c1p1_b1p4_f0p75_w0p5_dc0p98_df0p95_beta0p25_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.1,1.4,0.75,0.5,0.98,0.95,0.25,0.5,False,flow_shield,-0.15,0.15,-0.25,-0.25,0.03,-0.05,-0.1,-0.25,1.0,11.0,blocked safe-region refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
86,repair5g539_s2_086,repair5g518_grid_c1p25_b1p00_f1p00_w0p65_dc0p95_df0p98_beta0p3_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.25,1.0,1.0,0.65,0.95,0.98,0.3,0.75,False,flow_shield,0,-0.25,0,-0.1,0,-0.02,-0.05,0,1.0,11.0,blocked-light random refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
87,repair5g539_s2_087,repair5g518_grid_c1p1_b1p4_f1p00_w0p75_dc0p95_df0p98_beta0p3_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.1,1.4,1.0,0.75,0.95,0.98,0.3,0.75,False,flow_shield,-0.15,0.15,0,0,0,-0.02,-0.05,0,1.0,11.0,random bridge C-light refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
88,repair5g539_s2_088,repair5g518_grid_c1p25_b1p4_f1p00_w0p75_dc0p95_df0p98_beta0p35_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.25,1.4,1.0,0.75,0.95,0.98,0.35,0.75,False,flow_shield,0,0.15,0,0,0,-0.02,0,0,1.0,11.0,random bridge guarded refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
89,repair5g539_s2_089,repair5g518_grid_c1p4_b1p6_f1p00_w0p65_dc0p95_df0p9_beta0p3_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.4,1.6,1.0,0.65,0.95,0.9,0.3,0.75,False,flow_shield,0.15,0.35,0,-0.1,0,-0.1,-0.05,0,1.0,11.0,maze blockage/decay refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
90,repair5g539_s2_090,repair5g518_grid_c1p1_b1p25_f0p75_w0p5_dc0p98_df0p98_beta0p25_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.1,1.25,0.75,0.5,0.98,0.98,0.25,0.5,False,flow_shield,-0.15,0,-0.25,-0.25,0.03,-0.02,-0.1,-0.25,1.0,11.0,warehouse conservative bridge refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
91,repair5g539_s2_091,repair5g518_grid_c1p4_b1p4_f1p00_w0p65_dc0p95_df0p95_beta0p25_max1p00_c0,Stage 2 local safe-winner refinement,s2,1.4,1.4,1.0,0.65,0.95,0.95,0.25,1.0,False,flow_shield,0.15,0.15,0,-0.1,0,-0.05,-0.1,0.25,1.0,11.0,low-beta high-cap refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
92,repair5g539_s2_092,repair5g518_grid_c1p25_b1p6_f0p75_w0p65_dc0p98_df0p95_beta0p3_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.25,1.6,0.75,0.65,0.98,0.95,0.3,0.5,False,flow_shield,0,0.35,-0.25,-0.1,0.03,-0.05,-0.05,-0.25,1.0,11.0,blocked safe-region refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
93,repair5g539_s2_093,repair5g518_grid_c1p00_b1p4_f1p25_w0p25_dc0p95_df1p00_beta0p45_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.0,1.4,1.25,0.25,0.95,1.0,0.45,0.75,False,flow_shield,-0.25,0.15,0.25,-0.5,0,0,0.1,0,1.0,11.0,flow progress refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
94,repair5g539_s2_094,repair5g518_grid_c1p4_b1p1_f1p00_w0p75_dc0p95_df0p98_beta0p35_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.4,1.1,1.0,0.75,0.95,0.98,0.35,0.75,False,flow_shield,0.15,-0.15,0,0,0,-0.02,0,0,1.0,11.0,blocked-light random refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
95,repair5g539_s2_095,repair5g518_grid_c1p25_b1p6_f1p00_w0p25_dc0p95_df0p98_beta0p35_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.25,1.6,1.0,0.25,0.95,0.98,0.35,0.75,False,flow_shield,0,0.35,0,-0.5,0,-0.02,0,0,1.0,11.0,random bridge C-light refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
96,repair5g539_s2_096,repair5g518_grid_c1p4_b1p6_f1p00_w0p25_dc0p95_df0p98_beta0p45_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.4,1.6,1.0,0.25,0.95,0.98,0.45,0.75,False,flow_shield,0.15,0.35,0,-0.5,0,-0.02,0.1,0,1.0,11.0,random bridge guarded refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
97,repair5g539_s2_097,repair5g518_grid_c1p00_b1p00_f1p00_w0p75_dc0p95_df0p9_beta0p35_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.0,1.0,1.0,0.75,0.95,0.9,0.35,0.75,False,flow_shield,-0.25,-0.25,0,0,0,-0.1,0,0,1.0,11.0,maze blockage/decay refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
98,repair5g539_s2_098,repair5g518_grid_c1p25_b1p4_f0p75_w0p65_dc0p98_df0p98_beta0p3_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.25,1.4,0.75,0.65,0.98,0.98,0.3,0.5,False,flow_shield,0,0.15,-0.25,-0.1,0.03,-0.02,-0.05,-0.25,1.0,11.0,warehouse conservative bridge refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
99,repair5g539_s2_099,repair5g518_grid_c1p00_b1p6_f1p00_w0p75_dc0p95_df0p95_beta0p3_max1p00_c0,Stage 2 local safe-winner refinement,s2,1.0,1.6,1.0,0.75,0.95,0.95,0.3,1.0,False,flow_shield,-0.25,0.35,0,0,0,-0.05,-0.05,0.25,1.0,11.0,low-beta high-cap refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
100,repair5g539_s2_100,repair5g518_grid_c1p4_b1p00_f0p75_w0p75_dc0p98_df0p95_beta0p35_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.4,1.0,0.75,0.75,0.98,0.95,0.35,0.5,False,flow_shield,0.15,-0.25,-0.25,0,0.03,-0.05,0,-0.25,1.0,11.0,blocked safe-region refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
101,repair5g539_s2_101,repair5g518_grid_c1p1_b1p6_f1p25_w0p35_dc0p95_df1p00_beta0p6_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.1,1.6,1.25,0.35,0.95,1.0,0.6,0.75,False,flow_shield,-0.15,0.35,0.25,-0.4,0,0,0.25,0,1.0,11.0,flow progress refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
102,repair5g539_s2_102,repair5g518_grid_c1p00_b1p25_f1p00_w0p25_dc0p95_df0p98_beta0p45_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.0,1.25,1.0,0.25,0.95,0.98,0.45,0.75,False,flow_shield,-0.25,0,0,-0.5,0,-0.02,0.1,0,1.0,11.0,blocked-light random refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
103,repair5g539_s2_103,repair5g518_grid_c1p4_b1p00_f1p00_w0p35_dc0p95_df0p98_beta0p45_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.4,1.0,1.0,0.35,0.95,0.98,0.45,0.75,False,flow_shield,0.15,-0.25,0,-0.4,0,-0.02,0.1,0,1.0,11.0,random bridge C-light refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
104,repair5g539_s2_104,repair5g518_grid_c1p00_b1p00_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.0,1.0,1.0,0.35,0.95,0.98,0.6,0.75,False,flow_shield,-0.25,-0.25,0,-0.4,0,-0.02,0.25,0,1.0,11.0,random bridge guarded refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
105,repair5g539_s2_105,repair5g518_grid_c1p1_b1p1_f1p00_w0p25_dc0p95_df0p9_beta0p45_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.1,1.1,1.0,0.25,0.95,0.9,0.45,0.75,False,flow_shield,-0.15,-0.15,0,-0.5,0,-0.1,0.1,0,1.0,11.0,maze blockage/decay refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
106,repair5g539_s2_106,repair5g518_grid_c1p4_b1p6_f0p75_w0p75_dc0p98_df0p98_beta0p35_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.4,1.6,0.75,0.75,0.98,0.98,0.35,0.5,False,flow_shield,0.15,0.35,-0.25,0,0.03,-0.02,0,-0.25,1.0,11.0,warehouse conservative bridge refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
107,repair5g539_s2_107,repair5g518_grid_c1p1_b1p00_f1p00_w0p25_dc0p95_df0p95_beta0p35_max1p00_c0,Stage 2 local safe-winner refinement,s2,1.1,1.0,1.0,0.25,0.95,0.95,0.35,1.0,False,flow_shield,-0.15,-0.25,0,-0.5,0,-0.05,0,0.25,1.0,11.0,low-beta high-cap refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
108,repair5g539_s2_108,repair5g518_grid_c1p00_b1p1_f0p75_w0p25_dc0p98_df0p95_beta0p45_max0p5_c0,Stage 2 local safe-winner refinement,s2,1.0,1.1,0.75,0.25,0.98,0.95,0.45,0.5,False,flow_shield,-0.25,-0.15,-0.25,-0.5,0.03,-0.05,0.1,-0.25,1.0,11.0,blocked safe-region refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
109,repair5g539_s2_109,repair5g518_grid_c1p25_b1p00_f1p25_w0p5_dc0p95_df1p00_beta0p15_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.25,1.0,1.25,0.5,0.95,1.0,0.15,0.75,False,flow_shield,0,-0.25,0.25,-0.25,0,0,-0.2,0,1.0,11.0,flow progress refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
110,repair5g539_s2_110,repair5g518_grid_c1p1_b1p4_f1p00_w0p35_dc0p95_df0p98_beta0p6_max0p75_c0,Stage 2 local safe-winner refinement,s2,1.1,1.4,1.0,0.35,0.95,0.98,0.6,0.75,False,flow_shield,-0.15,0.15,0,-0.4,0,-0.02,0.25,0,1.0,11.0,blocked-light random refinement,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
111,repair5g539_s2_111,repair5g518_grid_c1p00_b1p00_f0p5_w0p25_dc0p95_df0p9_beta0p15_max0p4_c0,Stage 2 local safe-winner refinement,s2,1.0,1.0,0.5,0.25,0.95,0.9,0.15,0.4,False,flow_shield,-0.25,-0.25,-0.5,-0.5,0,-0.1,-0.2,-0.35,1.0,11.0,local refinement fallback fill,priority failure strata from G5.38 blind replay,repair5g518_grid,True,False,False,False,False,False,False,False
112,repair5g539_s3_112,repair5g518_grid_c1p4_b1p6_f1p25_w0p75_dc1p00_df1p00_beta0p6_max1p25_c0,Stage 3 safety-boundary stress,s3,1.4,1.6,1.25,0.75,1.0,1.0,0.6,1.25,False,flow_shield,0.15,0.35,0.25,0,0.05,0,0.25,0.5,1.0,11.0,high-pressure boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
113,repair5g539_s3_113,repair5g518_grid_c1p00_b1p00_f0p5_w0p25_dc0p98_df0p9_beta0p15_max0p4_c0,Stage 3 safety-boundary stress,s3,1.0,1.0,0.5,0.25,0.98,0.9,0.15,0.4,False,flow_shield,-0.25,-0.25,-0.5,-0.5,0.03,-0.1,-0.2,-0.35,1.0,11.0,minimal-flow boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
114,repair5g539_s3_114,repair5g518_grid_c1p4_b1p6_f0p75_w0p35_dc0p95_df0p9_beta0p25_max0p5_c0,Stage 3 safety-boundary stress,s3,1.4,1.6,0.75,0.35,0.95,0.9,0.25,0.5,False,flow_shield,0.15,0.35,-0.25,-0.4,0,-0.1,-0.1,-0.25,1.0,11.0,blocked-heavy boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
115,repair5g539_s3_115,repair5g518_grid_c1p00_b1p00_f0p00_w0p5_dc0p98_df1p00_beta0p00_max0p00_c1,Stage 3 safety-boundary stress,s3,1.0,1.0,0.0,0.5,0.98,1.0,0.0,0.0,True,none,-0.25,-0.25,-1,-0.25,0.03,0,-0.35,-0.75,0.25,11.0,explicit C-only bridge stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
116,repair5g539_s3_116,repair5g518_grid_c1p1_b1p1_f0p75_w0p35_dc1p00_df0p95_beta0p2_max0p5_c0,Stage 3 safety-boundary stress,s3,1.1,1.1,0.75,0.35,1.0,0.95,0.2,0.5,False,flow_shield,-0.15,-0.15,-0.25,-0.4,0.05,-0.05,-0.15,-0.25,1.0,11.0,minimal-flow boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
117,repair5g539_s3_117,repair5g518_grid_c1p00_b1p00_f1p00_w0p5_dc0p98_df0p95_beta0p3_max0p75_c0,Stage 3 safety-boundary stress,s3,1.0,1.0,1.0,0.5,0.98,0.95,0.3,0.75,False,flow_shield,-0.25,-0.25,0,-0.25,0.03,-0.05,-0.05,0,1.0,11.0,blocked-heavy boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
118,repair5g539_s3_118,repair5g518_grid_c1p1_b1p1_f0p00_w0p65_dc1p00_df0p9_beta0p00_max0p00_c1,Stage 3 safety-boundary stress,s3,1.1,1.1,0.0,0.65,1.0,0.9,0.0,0.0,True,none,-0.15,-0.15,-1,-0.1,0.05,-0.1,-0.35,-0.75,0.25,11.0,explicit C-only bridge stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
119,repair5g539_s3_119,repair5g518_grid_c1p1_b1p1_f0p75_w0p35_dc0p98_df0p95_beta0p2_max0p5_c0,Stage 3 safety-boundary stress,s3,1.1,1.1,0.75,0.35,0.98,0.95,0.2,0.5,False,flow_shield,-0.15,-0.15,-0.25,-0.4,0.03,-0.05,-0.15,-0.25,1.0,11.0,high-pressure boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
120,repair5g539_s3_120,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc0p95_df0p98_beta0p25_max0p75_c0,Stage 3 safety-boundary stress,s3,1.25,1.25,1.0,0.5,0.95,0.98,0.25,0.75,False,flow_shield,0,0,0,-0.25,0,-0.02,-0.1,0,1.0,11.0,minimal-flow boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
121,repair5g539_s3_121,repair5g518_grid_c1p1_b1p1_f1p25_w0p65_dc1p00_df0p98_beta0p35_max1p00_c0,Stage 3 safety-boundary stress,s3,1.1,1.1,1.25,0.65,1.0,0.98,0.35,1.0,False,flow_shield,-0.15,-0.15,0.25,-0.1,0.05,-0.02,0,0.25,1.0,11.0,blocked-heavy boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
122,repair5g539_s3_122,repair5g518_grid_c1p25_b1p25_f0p00_w0p75_dc0p95_df0p95_beta0p00_max0p00_c1,Stage 3 safety-boundary stress,s3,1.25,1.25,0.0,0.75,0.95,0.95,0.0,0.0,True,none,0,0,-1,0,0,-0.05,-0.35,-0.75,0.25,11.0,explicit C-only bridge stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
123,repair5g539_s3_123,repair5g518_grid_c1p25_b1p25_f1p00_w0p5_dc1p00_df0p98_beta0p25_max0p75_c0,Stage 3 safety-boundary stress,s3,1.25,1.25,1.0,0.5,1.0,0.98,0.25,0.75,False,flow_shield,0,0,0,-0.25,0.05,-0.02,-0.1,0,1.0,11.0,high-pressure boundary stress,safety boundary and prior regression strata,repair5g518_grid,True,False,False,False,False,False,False,False
